issue_number,draw_date,red_ball_1,red_ball_2,red_ball_3,red_ball_4,red_ball_5,blue_ball_1,blue_ball_2,sales_amount,jackpot_amount
22113,"229,523",13,15,22,31,33,5,12,61,816761134
22112,"133,251",4,11,18,20,26,6,12,92,782148237
22111,"165,393",6,12,16,19,31,6,10,81,770835539
22110,"102,849",2,13,16,18,23,3,6,106,741140376
22109,"89,188",5,9,24,29,35,5,12,108,726986669
22108,"97,359",4,7,13,26,28,7,11,114,796949042
22107,"22,384",7,9,19,28,29,8,10,326,771831893
22106,"189,339",16,17,21,28,32,4,7,71,817054417
22105,"87,218",1,8,9,21,22,1,4,132,797227538
22104,"66,422",3,5,13,19,25,2,5,152,815868127
22103,"150,792",8,12,16,21,32,1,12,87,828275400
22102,"98,795",1,5,14,20,30,2,4,111,802491818
22101,"51,126",2,4,6,7,8,3,6,242,795328776
22100,"34,966",10,19,20,23,31,3,7,225,778544296
22099,"117,690",7,18,25,27,33,4,5,92,828721804
22098,"159,365",1,3,6,11,13,3,11,91,808652607
